Fecha de operación; Precio ;;
26/9/2003; $ 325,00 ;;
29/9/2003; $ 325,00 ;;
30/9/2003; $ 326,50 ;;
1/10/2003; $ 325,00 ;;
2/10/2003; $ 325,00 ;;
3/10/2003; S/C ;;
6/10/2003; $ 325,00 ;;
8/10/2003; $ 325,00 ;;
9/10/2003; $ 325,00 ;;
10/10/2003; $ 329,90 ;;
14/10/2003; $ 325,00 ;;
15/10/2003; $ 325,00 ;;
16/10/2003; $ 325,00 ;;
17/10/2003; $ 320,80 ;;
20/10/2003; $ 320,00 ;;
21/10/2003; S/C ;;
22/10/2003; S/C ;;
23/10/2003; S/C ;;
24/10/2003; $ 330,00 ;;
27/10/2003; $ 333,00 ;;
28/10/2003; $ 335,00 ;;
29/10/2003; $ 340,00 ;;
30/10/2003; $ 344,00 ;;
31/10/2003; $ 344,90 ;;
3/11/2003; $ 350,00 ;;
4/11/2003; $ 354,00 ;;
5/11/2003; $ 360,30 ;;
7/11/2003; $ 360,00 ;;
10/11/2003; S/C ;;
11/11/2003; $ 354,00 ;;
12/11/2003; $ 364,50 ;;
13/11/2003; $ 375,00 ;;
14/11/2003; $ 379,50 ;;
17/11/2003; $ 374,40 ;;
18/11/2003; $ 360,00 ;;
19/11/2003; $ 349,00 ;;
20/11/2003; $ 353,80 ;;
21/11/2003; $ 365,00 ;;
24/11/2003; $ 354,50 ;;
25/11/2003; $ 351,00 ;;
26/11/2003; $ 360,50 ;;
27/11/2003; $ 361,50 ;;
28/11/2003; $ 369,60 ;;
1/12/2003; $ 374,80 ;;
2/12/2003; $ 374,60 ;;
3/12/2003; $ 380,20 ;;
4/12/2003; $ 393,30 ;;
5/12/2003; $ 387,50 ;;
9/12/2003; $ 388,00 ;;
10/12/2003; $ 380,00 ;;
11/12/2003; $ 375,30 ;;
12/12/2003; $ 380,40 ;;
15/12/2003; $ 372,30 ;;
16/12/2003; $ 371,90 ;;
17/12/2003; $ 371,50 ;;
18/12/2003; $ 375,00 ;;
19/12/2003; $ 370,00 ;;
22/12/2003; $ 364,70 ;;
23/12/2003; $ 360,00 ;;
26/12/2003; $ 355,00 ;;
29/12/2003; $ 350,00 ;;
30/12/2003; $ 350,00 ;;
2/1/2004; $ 365,20 ;;
5/1/2004; $ 365,00 ;;
6/1/2004; $ 365,00 ;;
7/1/2004; $ 357,80 ;;
8/1/2004; $ 360,00 ;;
9/1/2004; $ 364,50 ;;
12/1/2004; $ 370,00 ;;
13/1/2004; $ 380,00 ;;
14/1/2004; $ 385,00 ;;
15/1/2004; $ 384,70 ;;
16/1/2004; $ 381,50 ;;
19/1/2004; $ 378,40 ;;
20/1/2004; $ 370,00 ;;
21/1/2004; $ 364,50 ;;
22/1/2004; $ 351,60 ;;
23/1/2004; $ 350,00 ;;
26/1/2004; $ 349,90 ;;
27/1/2004; $ 347,60 ;;
28/1/2004; $ 342,80 ;;
29/1/2004; $ 345,80 ;;
30/1/2004; $ 347,40 ;;
2/2/2004; $ 345,00 ;;
3/2/2004; $ 348,80 ;;
4/2/2004; $ 350,20 ;;
5/2/2004; $ 350,00 ;;
6/2/2004; $ 350,20 ;;
9/2/2004; $ 348,00 ;;
10/2/2004; $ 342,60 ;;
11/2/2004; $ 335,10 ;;
12/2/2004; $ 335,10 ;;
13/2/2004; $ 330,10 ;;
16/2/2004; $ 332,00 ;;
17/2/2004; $ 330,00 ;;
18/2/2004; $ 325,00 ;;
19/2/2004; $ 330,00 ;;
20/2/2004; $ 330,20 ;;
23/2/2004; $ 330,10 ;;
24/2/2004; $ 340,10 ;;
25/2/2004; $ 333,00 ;;
26/2/2004; $ 332,00 ;;
27/2/2004; $ 330,00 ;;
1/3/2004; $ 330,50 ;;
2/3/2004; $ 330,00 ;;
3/3/2004; $ 330,10 ;;
4/3/2004; $ 330,00 ;;
5/3/2004; $ 330,10 ;;
8/3/2004; $ 326,90 ;;
9/3/2004; $ 326,10 ;;
10/3/2004; $ 325,50 ;;
11/3/2004; $ 330,00 ;;
12/3/2004; $ 329,80 ;;
15/3/2004; $ 327,60 ;;
16/3/2004; $ 326,90 ;;
17/3/2004; $ 332,50 ;;
18/3/2004; $ 340,10 ;;
19/3/2004; $ 345,10 ;;
22/3/2004; $ 360,00 ;;
23/3/2004; $ 360,00 ;;
24/3/2004; $ 359,80 ;;
25/3/2004; $ 359,00 ;;
26/3/2004; $ 356,80 ;;
29/3/2004; $ 345,40 ;;
30/3/2004; $ 340,50 ;;
31/3/2004; $ 337,50 ;;
1/4/2004; $ 340,00 ;;
2/4/2004; $ 344,10 ;;
6/4/2004; $ 342,80 ;;
7/4/2004; $ 345,00 ;;
12/4/2004; $ 350,00 ;;
13/4/2004; $ 342,10 ;;
14/4/2004; $ 347,00 ;;
15/4/2004; $ 335,00 ;;
16/4/2004; $ 345,80 ;;
19/4/2004; $ 353,90 ;;
20/4/2004; $ 350,00 ;;
21/4/2004; $ 345,60 ;;
22/4/2004; $ 349,30 ;;
23/4/2004; $ 349,70 ;;
26/4/2004; $ 349,80 ;;
27/4/2004; $ 353,90 ;;
28/4/2004; $ 352,50 ;;
29/4/2004; $ 359,60 ;;
30/4/2004; $ 355,60 ;;
3/5/2004; $ 355,00 ;;
4/5/2004; $ 362,10 ;;
5/5/2004; $ 360,40 ;;
6/5/2004; $ 360,90 ;;
7/5/2004; $ 364,90 ;;
10/5/2004; $ 359,50 ;;
11/5/2004; $ 362,00 ;;
12/5/2004; $ 363,00 ;;
13/5/2004; $ 360,00 ;;
14/5/2004; $ 356,00 ;;
17/5/2004; $ 356,50 ;;
18/5/2004; $ 355,00 ;;
19/5/2004; $ 348,80 ;;
20/5/2004; $ 350,00 ;;
21/5/2004; $ 345,00 ;;
24/5/2004; $ 340,00 ;;
26/5/2004; $ 340,30 ;;
27/5/2004; $ 335,00 ;;
28/5/2004; $ 340,40 ;;
31/5/2004; $ 339,50 ;;
1/6/2004; $ 349,20 ;;
2/6/2004; $ 340,00 ;;
3/6/2004; $ 340,00 ;;
4/6/2004; $ 340,10 ;;
7/6/2004; $ 340,00 ;;
8/6/2004; $ 340,00 ;;
9/6/2004; $ 340,00 ;;
